#options: 480x270 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=8 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=250 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:33 out:35 type:b dur:2 cpbdur:2 q:26.09 aq:20.01 tex:138 mv:130 misc:172 imb:0 pmb:13 smb:497 d:- ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:25.57 aq:13.81 tex:59 mv:128 misc:213 imb:0 pmb:17 smb:493 d:- ref:0 ;
in:40 out:37 type:P dur:2 cpbdur:2 q:24.51 aq:13.45 tex:18668 mv:997 misc:303 imb:9 pmb:175 smb:326 d:- ref:0 ;
in:38 out:38 type:B dur:2 cpbdur:2 q:24.91 aq:19.46 tex:247 mv:393 misc:312 imb:0 pmb:39 smb:471 d:- ref:0 ;
in:37 out:39 type:b dur:2 cpbdur:2 q:25.11 aq:20.24 tex:169 mv:155 misc:220 imb:0 pmb:22 smb:488 d:- ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:24.71 aq:19.41 tex:92 mv:161 misc:203 imb:0 pmb:17 smb:493 d:- ref:0 ;
in:44 out:41 type:P dur:2 cpbdur:2 q:23.92 aq:13.23 tex:19028 mv:979 misc:289 imb:5 pmb:172 smb:333 d:- ref:0 ;
in:42 out:42 type:B dur:2 cpbdur:2 q:24.21 aq:18.62 tex:598 mv:528 misc:330 imb:0 pmb:57 smb:453 d:- ref:0 ;
in:41 out:43 type:b dur:2 cpbdur:2 q:24.36 aq:17.98 tex:231 mv:192 misc:241 imb:0 pmb:25 smb:485 d:- ref:0 ;
in:43 out:44 type:b dur:2 cpbdur:2 q:24.07 aq:18.71 tex:158 mv:157 misc:237 imb:0 pmb:28 smb:482 d:- ref:0 ;
in:48 out:45 type:P dur:2 cpbdur:2 q:23.46 aq:12.94 tex:18201 mv:921 misc:286 imb:4 pmb:167 smb:339 d:- ref:0 ;
in:46 out:46 type:B dur:2 cpbdur:2 q:23.69 aq:18.61 tex:568 mv:518 misc:362 imb:0 pmb:63 smb:447 d:- ref:0 ;
in:45 out:47 type:b dur:2 cpbdur:2 q:23.80 aq:18.21 tex:66 mv:187 misc:235 imb:0 pmb:23 smb:487 d:- ref:0 ;
